DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,99AC9101,24632,CAIXA AMPLIFICADA CM-07 MONDIAL              
20200515,91199501,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200515,9OC5JN01,26527,SMARTPHONE LG K40S LMX430 BMW PRETO          
20200515,03108101,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200515,99A99V01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200514,80996701,25579,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRATA    
20200514,99EYOL01,21256,CELULAR BLU TANK II T193 DB PRETO AZUL       
20200514,9OGYNB01,26581,SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB PT ONIX
20200514,99B90R01,24632,CAIXA AMPLIFICADA CM-07 MONDIAL              
20200514,9O2KDK01,21647,DVD D-15 KARAOKE MONDIAL                     
20200514,83460201,22617,CELULAR RIU-I R200 DB PRETO-VERMELHO         
20200514,99DJ2Q01,26573,SMARTPHONE SAMSUNG GAL A30S 64GB PRETO       
20200514,70673901,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200514,99HBLX01,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200513,99PXK201,25933,TABLET NB304 M7 3G PLUS QUAD CORE PRETO      
20200513,99HGSF01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,55049501,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200513,99DJVN01,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200513,99KC1X01,23319,TABLET NB247 M9-3G QC PRETO                  
20200512,99L64R01,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200512,99EDBE01,24632,CAIXA AMPLIFICADA CM-07 MONDIAL              
20200512,99BJ2B01,25726,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    
20200512,99E8E701,21647,DVD D-15 KARAOKE MONDIAL                     
20200512,32765701,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200512,99FQRB01,26583,SMARTPHONE MOTOROLA MOTO G8 PLUS 64GB AZUL SF
20200512,99PXK201,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200512,99HCPZ01,26326,"TELEVISOR SMART 50"" 50P8M 4K UHD BLT SEMP TCL"
20200512,9ODE2H01,25580,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRETO    
20200512,YYZ6HE01,26572,SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    
20200511,99C5ZC01,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200511,23736101,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200511,99IL5P01,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200511,66927601,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200511,28231001,21854,CELULAR BLU JENNY 2.8 T276 DB PRETO-AZUL     
20200511,94157001,26387,SMARTPHONE LG K8 PLUS PLATINUM               
20200511,9O7FQV01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200511,90710701,26525,SMARTPHONE LG K12 MAX AZUL                   
20200511,91267101,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
