DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,99EFV501,21647,DVD D-15 KARAOKE MONDIAL                     
20200515,65997801,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,99LS5Q01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,9O08XZ01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,9OO6NQ01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,06554901,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200515,000P6501,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,99PS0S01,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200515,36974401,25699,RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       
20200515,99M56S01,25545,"TELEVISOR SMART 40"" TC40FS600B PANASONIC     "
20200515,99ANSN01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,54724701,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,54724701,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200515,9OME3K01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,67898301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,96811801,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200515,96811801,21029,ANTENA 1.70 MT MULTIPONTO CENTURY            
20200515,96811801,24716,RECEPTOR MIDIA BOX HDTV B3                   
20200515,96811801,21029,ANTENA 1.70 MT MULTIPONTO CENTURY            
20200515,99AVII01,26581,SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB PT ONIX
20200515,YZ340401,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200515,YZ340401,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,YZ386801,26243,SUPORTE UNIV. BEDIN BU-25                    
20200515,YZ369201,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200515,000PIU01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200514,15320301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,12234701,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,99FLIX01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,99FT8Z01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,99HW4801,25356,"TELEVISOR SMART 49"" UN49J5290 SAMSUNG        "
20200514,9OD3V101,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200514,9O724001,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,9O9G2501,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200514,9O227801,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200514,9O74KU01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,9NZUMC01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,9OOAOO01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,33496901,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,9OID4B01,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200514,94327401,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,99CG3201,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200514,19229301,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200514,19229301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,98392901,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,89911701,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,91504701,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200514,9O0E7M01,20599,ROTEADOR RE160 300 MBPS NOVO (05)            
20200514,10221401,26582,SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB VERM   
20200514,9O5SUI01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,9O627Y01,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200514,99HT7Q01,25354,"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        "
20200514,99HT7Q01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,9NXD0W01,23447,REPETIDOR RE051 300MPS WPS MULTILASER        
20200514,9OQR8501,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200514,9OQR8501,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,29825101,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,99AQMF01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,22275501,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,99MID001,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,YZ270101,26243,SUPORTE UNIV. BEDIN BU-25                    
20200514,YYYU9Y01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,000PIU01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200513,000PIU01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200513,YZ0ZIK01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,YZ240901,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200513,YZ240901,26569,SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       
20200513,YZ230301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,99I6L301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,YZ206301,25303,"TELEVISOR SMART 32"" TC32FS500B PANASONIC     "
20200513,YZ206301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,9O20GE01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,YZ0PQR01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,99HQYU01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,99FB1O01,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200513,9O188D01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,99ESL701,26630,TABLET NB316 M7S 16GB QUAD CORE PRETO        
20200513,9OPZ4R01,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200513,9OH1KP01,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200513,37272101,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200513,99GSDH01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,99D1ZO01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,50035201,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,50098801,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,99CJT901,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,9OJM4V01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,9OG7CE01,26528,SMARTPHONE LG K40S LMX430 BMW AZUL           
20200513,34453701,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200513,99HXC801,25356,"TELEVISOR SMART 49"" UN49J5290 SAMSUNG        "
20200513,99HXC801,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,99F2SE01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200513,99ABNF01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,99LPUW01,23447,REPETIDOR RE051 300MPS WPS MULTILASER        
20200512,99LPUW01,26572,SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    
20200512,99F27501,24852,TABLET NB707 MINI MS50L BRANCO/DOURADO       
20200512,9O0VFH01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,9OO3BF01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,28020701,23904,"TELEVISOR SMART 49"" UN49J5200 SAMSUNG        "
20200512,28020701,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,66431801,23447,REPETIDOR RE051 300MPS WPS MULTILASER        
20200512,53675601,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,23683201,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200512,80210501,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,99F6R101,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,99FMI101,21255,CELULAR BLU TANK II T193 DB PRETO VERMELHO   
20200512,99A4XS01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,99GPC601,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200512,87833001,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
20200512,99FKK301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,99ESQQ01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,64990401,26636,SMARTPHONE MOTOROLA MOTO G8 POWER 64GB VULCAN
20200512,9OQYTN01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,9OQYTN01,25545,"TELEVISOR SMART 40"" TC40FS600B PANASONIC     "
20200512,03357701,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,9OLWU401,24632,CAIXA AMPLIFICADA CM-07 MONDIAL              
20200512,9O31PK01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,36507601,23447,REPETIDOR RE051 300MPS WPS MULTILASER        
20200512,85145701,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,93841701,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,93841701,25356,"TELEVISOR SMART 49"" UN49J5290 SAMSUNG        "
20200512,9ONQ8I01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,49689701,26581,SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB PT ONIX
20200512,9O6PPA01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,15427301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200512,YZ150401,25245,TABLET NB731 MINI MS50G DOURADO/BRANCO       
